Date,Location,Location_Code,Average Temperature,Average Humidity,Temp_Range,Temp_Avg_3d,Humidity_Avg_3d,Insects_Lag1,Insects_Lag3,Recent_Activity,Days_Since_Cleaning,Month,Day,Season,Number of insects,New catches
2024-07-17,Cicalino 1,0,27.66,55.03,2.0500000000000007,27.03333333333333,56.02,2.0,1.0,1,7,7,17,Mid_Summer,1.0,1.0
2024-07-18,Cicalino 1,0,27.05,52.11,2.080000000000002,27.05666666666667,54.35,1.0,1.0,1,1,7,18,Mid_Summer,1.0,0.0
2024-07-19,Cicalino 1,0,27.72,54.54,1.93,27.47666666666667,53.89333333333334,1.0,2.0,1,2,7,19,Mid_Summer,1.0,0.0
2024-07-20,Cicalino 1,0,26.83,63.96,1.8200000000000005,27.2,56.87,1.0,1.0,1,3,7,20,Mid_Summer,1.0,0.0
2024-07-21,Cicalino 1,0,26.6,67.95,1.75,27.05,62.150000000000006,1.0,1.0,1,4,7,21,Mid_Summer,1.0,1.0
2024-07-22,Cicalino 1,0,25.07,73.41,2.2300000000000004,26.166666666666668,68.44000000000001,1.0,1.0,1,1,7,22,Mid_Summer,2.0,1.0
2024-07-23,Cicalino 1,0,26.94,66.84,1.4599999999999973,26.203333333333337,69.4,2.0,1.0,1,2,7,23,Mid_Summer,0.0,0.0
2024-07-24,Cicalino 1,0,27.92,62.3,2.129999999999999,26.64333333333333,67.51666666666667,0.0,1.0,1,3,7,24,Mid_Summer,0.0,0.0
2024-07-25,Cicalino 1,0,28.34,58.56,1.9199999999999984,27.73333333333333,62.56666666666666,0.0,2.0,1,4,7,25,Mid_Summer,1.0,1.0
2024-07-26,Cicalino 1,0,27.53,65.52,1.629999999999999,27.930000000000003,62.126666666666665,1.0,0.0,1,5,7,26,Mid_Summer,1.0,0.0
2024-07-27,Cicalino 1,0,27.46,63.67,1.75,27.776666666666667,62.583333333333336,1.0,0.0,1,6,7,27,Mid_Summer,1.0,0.0
2024-07-28,Cicalino 1,0,27.36,57.7,1.93,27.45,62.29666666666666,1.0,1.0,1,7,7,28,Mid_Summer,3.0,2.0
2024-07-29,Cicalino 1,0,28.6,51.48,1.8099999999999987,27.80666666666667,57.61666666666667,3.0,1.0,1,8,7,29,Mid_Summer,0.0,0.0
2024-07-30,Cicalino 1,0,30.7,45.11,2.039999999999999,28.886666666666667,51.43,0.0,1.0,1,1,7,30,Mid_Summer,0.0,0.0
2024-07-31,Cicalino 1,0,29.78,52.01,1.7399999999999984,29.69333333333334,49.53333333333333,0.0,3.0,0,2,7,31,Late_Summer,0.0,0.0
2024-08-01,Cicalino 1,0,28.06,53.08,1.7899999999999991,29.51333333333333,50.06666666666666,0.0,0.0,0,3,8,1,Late_Summer,0.0,0.0
2024-08-02,Cicalino 1,0,27.51,70.19,1.75,28.45,58.426666666666655,0.0,0.0,0,4,8,2,Late_Summer,0.0,0.0
2024-08-03,Cicalino 1,0,27.08,74.0,1.870000000000001,27.55,65.75666666666666,0.0,0.0,0,5,8,3,Late_Summer,0.0,0.0
2024-08-04,Cicalino 1,0,27.02,66.26,1.8000000000000007,27.203333333333333,70.15,0.0,0.0,0,1,8,4,Late_Summer,0.0,0.0
2024-08-05,Cicalino 1,0,28.28,57.19,1.75,27.46,65.81666666666666,0.0,0.0,0,1,8,5,Late_Summer,0.0,0.0
2024-08-06,Cicalino 1,0,27.45,65.48,1.75,27.58333333333333,62.97666666666667,0.0,0.0,1,2,8,6,Late_Summer,1.0,1.0
2024-08-07,Cicalino 1,0,26.97,64.51,1.93,27.566666666666663,62.39333333333334,1.0,0.0,1,3,8,7,Late_Summer,1.0,0.0
2024-08-08,Cicalino 1,0,26.98,62.83,1.8599999999999997,27.133333333333336,64.27333333333333,1.0,0.0,1,4,8,8,Late_Summer,1.0,0.0
2024-08-09,Cicalino 1,0,28.13,63.41,1.650000000000002,27.36,63.583333333333336,1.0,1.0,1,5,8,9,Late_Summer,1.0,0.0
2024-08-10,Cicalino 1,0,29.73,50.94,1.900000000000002,28.28,59.06,1.0,1.0,1,6,8,10,Late_Summer,0.0,0.0
2024-08-11,Cicalino 1,0,29.82,56.44,1.6899999999999975,29.226666666666663,56.93,0.0,1.0,1,1,8,11,Late_Summer,0.0,0.0
2024-08-12,Cicalino 1,0,29.87,52.52,1.66,29.80666666666667,53.3,0.0,1.0,0,2,8,12,Late_Summer,0.0,0.0
2024-08-13,Cicalino 1,0,28.99,49.21,1.7699999999999996,29.56,52.723333333333336,0.0,0.0,0,3,8,13,Late_Summer,0.0,0.0
2024-08-14,Cicalino 1,0,28.04,63.81,1.740000000000002,28.96666666666667,55.18000000000001,0.0,0.0,0,4,8,14,Late_Summer,0.0,0.0
2024-08-15,Cicalino 1,0,25.8,66.22,1.8500000000000012,27.61,59.74666666666667,0.0,0.0,0,5,8,15,Late_Summer,0.0,0.0
2024-08-16,Cicalino 1,0,27.37,61.59,1.6999999999999993,27.070000000000004,63.873333333333335,0.0,0.0,0,6,8,16,Late_Summer,0.0,0.0
2024-08-17,Cicalino 1,0,27.19,64.31,2.2200000000000024,26.786666666666665,64.04,0.0,0.0,0,1,8,17,Late_Summer,0.0,0.0
2024-08-18,Cicalino 1,0,23.34,83.13,2.1899999999999977,25.96666666666667,69.67666666666666,0.0,0.0,0,2,8,18,Late_Summer,0.0,0.0
2024-08-19,Cicalino 1,0,23.02,76.18,1.6099999999999994,24.516666666666666,74.54,0.0,0.0,0,3,8,19,Late_Summer,0.0,0.0
2024-08-20,Cicalino 1,0,24.3,72.73,1.59,23.55333333333333,77.34666666666668,0.0,0.0,0,4,8,20,Late_Summer,0.0,0.0
2024-08-21,Cicalino 1,0,26.3,69.62,1.5599999999999987,24.540000000000003,72.84333333333335,0.0,0.0,0,5,8,21,Late_Summer,0.0,0.0
2024-08-22,Cicalino 1,0,26.74,64.07,1.7399999999999984,25.78,68.80666666666667,0.0,0.0,0,6,8,22,Late_Summer,0.0,0.0
2024-08-23,Cicalino 1,0,19.61,87.62,0.5199999999999996,24.21666666666667,73.77,0.0,0.0,0,1,8,23,Late_Summer,0.0,0.0
2024-07-06,Cicalino 2,1,26.17,56.06,1.7199999999999989,26.17,56.06,0.0,0.0,0,0,7,6,Mid_Summer,0.0,0.0
2024-07-07,Cicalino 2,1,26.17,56.06,1.7199999999999989,26.17,56.06,0.0,0.0,0,0,7,7,Mid_Summer,0.0,0.0
2024-07-08,Cicalino 2,1,26.17,56.06,1.7199999999999989,26.17,56.06,0.0,0.0,0,0,7,8,Mid_Summer,0.0,0.0
2024-07-09,Cicalino 2,1,26.17,56.06,1.7199999999999989,26.17,56.06,0.0,0.0,0,0,7,9,Mid_Summer,0.0,0.0
2024-07-10,Cicalino 2,1,26.17,56.06,1.7199999999999989,26.17,56.06,0.0,0.0,0,0,7,10,Mid_Summer,0.0,0.0
2024-07-11,Cicalino 2,1,26.17,56.06,1.7199999999999989,26.17,56.06,0.0,0.0,0,0,7,11,Mid_Summer,0.0,0.0
2024-07-12,Cicalino 2,1,26.56,57.27,2.030000000000001,26.3,56.46333333333334,0.0,0.0,0,1,7,12,Mid_Summer,0.0,0.0
2024-07-13,Cicalino 2,1,25.91,67.64,2.0700000000000003,26.21333333333333,60.32333333333333,0.0,0.0,0,2,7,13,Mid_Summer,0.0,0.0
2024-07-14,Cicalino 2,1,26.43,67.37,1.8499999999999976,26.3,64.09333333333333,0.0,0.0,0,3,7,14,Mid_Summer,0.0,0.0
2024-07-15,Cicalino 2,1,27.31,56.81,2.16,26.55,63.94,0.0,0.0,0,4,7,15,Mid_Summer,0.0,0.0
2024-07-16,Cicalino 2,1,26.47,56.24,1.7900000000000027,26.736666666666665,60.14000000000001,0.0,0.0,0,5,7,16,Mid_Summer,0.0,0.0
2024-07-17,Cicalino 2,1,27.43,55.76,2.1900000000000013,27.07,56.27,0.0,0.0,0,6,7,17,Mid_Summer,0.0,0.0
2024-07-18,Cicalino 2,1,26.86,53.36,1.9200000000000017,26.92,55.120000000000005,0.0,0.0,0,7,7,18,Mid_Summer,0.0,0.0
2024-07-19,Cicalino 2,1,27.89,54.5,1.7600000000000016,27.39333333333333,54.54,0.0,0.0,1,8,7,19,Mid_Summer,1.0,1.0
2024-07-20,Cicalino 2,1,26.82,63.39,1.91,27.19,57.083333333333336,1.0,0.0,1,1,7,20,Mid_Summer,2.0,1.0
2024-07-21,Cicalino 2,1,27.06,65.77,2.0,27.25666666666667,61.22,2.0,0.0,1,2,7,21,Mid_Summer,2.0,0.0
2024-07-22,Cicalino 2,1,25.67,69.78,2.3599999999999994,26.51666666666667,66.31333333333333,2.0,1.0,1,3,7,22,Mid_Summer,2.0,0.0
2024-07-23,Cicalino 2,1,27.09,64.54,1.5700000000000005,26.606666666666666,66.69666666666667,2.0,2.0,1,4,7,23,Mid_Summer,2.0,0.0
2024-07-24,Cicalino 2,1,28.08,61.77,2.3000000000000007,26.94666666666667,65.36333333333333,2.0,2.0,1,5,7,24,Mid_Summer,1.0,1.0
2024-07-25,Cicalino 2,1,28.67,58.13,2.2200000000000024,27.94666666666667,61.48,1.0,2.0,1,1,7,25,Mid_Summer,1.0,1.0
2024-07-26,Cicalino 2,1,27.9,65.34,1.9399999999999975,28.216666666666665,61.74666666666667,1.0,2.0,1,1,7,26,Mid_Summer,1.0,0.0
2024-07-27,Cicalino 2,1,27.56,63.17,1.9499999999999995,28.043333333333333,62.21333333333333,1.0,1.0,1,2,7,27,Mid_Summer,1.0,0.0
2024-07-28,Cicalino 2,1,27.36,57.8,1.9699999999999989,27.606666666666666,62.10333333333333,1.0,1.0,1,3,7,28,Mid_Summer,0.0,0.0
2024-07-29,Cicalino 2,1,28.67,52.1,2.009999999999998,27.863333333333333,57.69,0.0,1.0,1,4,7,29,Mid_Summer,0.0,0.0
2024-07-30,Cicalino 2,1,30.49,45.98,2.299999999999997,28.84,51.96,0.0,1.0,0,1,7,30,Mid_Summer,0.0,0.0
2024-07-31,Cicalino 2,1,29.88,51.84,2.120000000000001,29.68,49.973333333333336,0.0,0.0,0,2,7,31,Late_Summer,0.0,0.0
2024-08-01,Cicalino 2,1,28.26,53.05,1.9799999999999969,29.543333333333333,50.29,0.0,0.0,0,3,8,1,Late_Summer,0.0,0.0
2024-08-02,Cicalino 2,1,28.03,67.7,2.140000000000001,28.723333333333333,57.53,0.0,0.0,0,4,8,2,Late_Summer,0.0,0.0
2024-08-03,Cicalino 2,1,27.53,72.16,2.2399999999999984,27.94,64.30333333333333,0.0,0.0,0,5,8,3,Late_Summer,0.0,0.0
2024-08-04,Cicalino 2,1,27.52,63.77,1.8300000000000016,27.69333333333333,67.87666666666668,0.0,0.0,0,6,8,4,Late_Summer,0.0,0.0
2024-08-05,Cicalino 2,1,28.54,56.65,1.9499999999999995,27.863333333333333,64.19333333333333,0.0,0.0,0,1,8,5,Late_Summer,0.0,0.0
2024-08-06,Cicalino 2,1,27.49,63.97,2.1000000000000014,27.85,61.46333333333333,0.0,0.0,0,2,8,6,Late_Summer,0.0,0.0
2024-08-07,Cicalino 2,1,27.08,63.23,1.860000000000003,27.703333333333333,61.28333333333333,0.0,0.0,0,3,8,7,Late_Summer,0.0,0.0
2024-08-08,Cicalino 2,1,27.0,62.45,1.7899999999999991,27.19,63.21666666666667,0.0,0.0,0,4,8,8,Late_Summer,0.0,0.0
2024-08-09,Cicalino 2,1,28.22,62.9,1.6799999999999995,27.433333333333334,62.85999999999999,0.0,0.0,0,5,8,9,Late_Summer,0.0,0.0
2024-08-10,Cicalino 2,1,30.08,50.5,2.25,28.433333333333334,58.616666666666674,0.0,0.0,0,6,8,10,Late_Summer,0.0,0.0
2024-08-11,Cicalino 2,1,30.19,56.14,1.870000000000001,29.49666666666667,56.51333333333333,0.0,0.0,0,1,8,11,Late_Summer,0.0,0.0
2024-08-12,Cicalino 2,1,30.22,52.6,1.8200000000000005,30.163333333333338,53.080000000000005,0.0,0.0,0,2,8,12,Late_Summer,0.0,0.0
2024-08-13,Cicalino 2,1,29.37,49.74,1.7900000000000027,29.926666666666662,52.82666666666668,0.0,0.0,0,3,8,13,Late_Summer,0.0,0.0
2024-08-14,Cicalino 2,1,28.3,62.72,1.8500000000000012,29.296666666666667,55.02,0.0,0.0,0,4,8,14,Late_Summer,0.0,0.0
2024-08-15,Cicalino 2,1,26.49,63.13,2.110000000000003,28.05333333333333,58.53,0.0,0.0,0,5,8,15,Late_Summer,0.0,0.0
2024-08-16,Cicalino 2,1,27.77,60.79,1.8599999999999997,27.52,62.21333333333333,0.0,0.0,0,6,8,16,Late_Summer,0.0,0.0
2024-08-17,Cicalino 2,1,27.69,62.15,2.27,27.316666666666663,62.02333333333333,0.0,0.0,0,7,8,17,Late_Summer,0.0,0.0
2024-08-18,Cicalino 2,1,23.77,80.1,2.530000000000001,26.41,67.67999999999999,0.0,0.0,0,8,8,18,Late_Summer,0.0,0.0
2024-08-19,Cicalino 2,1,23.27,74.25,1.8299999999999983,24.91,72.16666666666667,0.0,0.0,0,9,8,19,Late_Summer,0.0,0.0
2024-08-20,Cicalino 2,1,24.45,71.57,1.7199999999999989,23.83,75.30666666666666,0.0,0.0,0,1,8,20,Late_Summer,0.0,0.0
2024-08-21,Cicalino 2,1,26.12,69.18,1.6799999999999995,24.613333333333333,71.66666666666667,0.0,0.0,0,2,8,21,Late_Summer,0.0,0.0
2024-08-22,Cicalino 2,1,27.02,63.95,1.7300000000000004,25.863333333333333,68.23333333333333,0.0,0.0,0,3,8,22,Late_Summer,0.0,0.0
2024-08-23,Cicalino 2,1,19.74,89.87,0.5999999999999979,24.293333333333333,74.33333333333333,0.0,0.0,1,4,8,23,Late_Summer,1.0,1.0
2024-07-06,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,6,Mid_Summer,0.0,0.0
2024-07-07,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,7,Mid_Summer,0.0,0.0
2024-07-08,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,8,Mid_Summer,0.0,0.0
2024-07-09,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,9,Mid_Summer,0.0,0.0
2024-07-10,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,10,Mid_Summer,0.0,0.0
2024-07-11,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,11,Mid_Summer,0.0,0.0
2024-07-12,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,12,Mid_Summer,0.0,0.0
2024-07-13,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,13,Mid_Summer,0.0,0.0
2024-07-14,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,14,Mid_Summer,0.0,0.0
2024-07-15,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,15,Mid_Summer,0.0,0.0
2024-07-16,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,16,Mid_Summer,0.0,0.0
2024-07-17,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,17,Mid_Summer,0.0,0.0
2024-07-18,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,18,Mid_Summer,0.0,0.0
2024-07-19,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,19,Mid_Summer,0.0,0.0
2024-07-20,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,20,Mid_Summer,0.0,0.0
2024-07-21,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,21,Mid_Summer,0.0,0.0
2024-07-22,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,22,Mid_Summer,0.0,0.0
2024-07-23,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,23,Mid_Summer,0.0,0.0
2024-07-24,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,24,Mid_Summer,0.0,0.0
2024-07-25,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,25,Mid_Summer,0.0,0.0
2024-07-26,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,26,Mid_Summer,0.0,0.0
2024-07-27,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,27,Mid_Summer,0.0,0.0
2024-07-28,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,28,Mid_Summer,0.0,0.0
2024-07-29,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,29,Mid_Summer,0.0,0.0
2024-07-30,Imola 1,2,29.68,42.93,1.129999999999999,29.68,42.93,0.0,0.0,0,0,7,30,Mid_Summer,0.0,0.0
2024-07-31,Imola 1,2,29.02,51.39,1.4899999999999984,29.46,45.75,0.0,0.0,0,0,7,31,Late_Summer,0.0,0.0
2024-08-01,Imola 1,2,31.08,44.15,1.5500000000000007,29.926666666666662,46.156666666666666,0.0,0.0,0,0,8,1,Late_Summer,0.0,0.0
2024-08-02,Imola 1,2,27.97,65.76,1.5300000000000011,29.356666666666666,53.76666666666667,0.0,0.0,0,0,8,2,Late_Summer,0.0,0.0
2024-08-03,Imola 1,2,25.77,71.85,1.6199999999999974,28.27333333333333,60.586666666666666,0.0,0.0,0,0,8,3,Late_Summer,0.0,0.0
2024-08-04,Imola 1,2,27.27,59.92,1.400000000000002,27.00333333333333,65.84333333333333,0.0,0.0,0,0,8,4,Late_Summer,0.0,0.0
2024-08-05,Imola 1,2,27.27,59.92,1.400000000000002,26.77,63.89666666666667,0.0,0.0,0,0,8,5,Late_Summer,0.0,0.0
2024-08-06,Imola 1,2,28.38,59.12,1.3099999999999987,27.64,59.653333333333336,0.0,0.0,0,0,8,6,Late_Summer,0.0,0.0
2024-08-07,Imola 1,2,27.29,64.45,1.7600000000000016,27.646666666666665,61.16333333333333,0.0,0.0,0,0,8,7,Late_Summer,0.0,0.0
2024-08-08,Imola 1,2,26.32,65.97,1.3299999999999983,27.33,63.18,0.0,0.0,0,0,8,8,Late_Summer,0.0,0.0
2024-08-09,Imola 1,2,28.26,60.57,1.3800000000000026,27.290000000000003,63.66333333333333,0.0,0.0,0,1,8,9,Late_Summer,0.0,0.0
2024-08-10,Imola 1,2,29.51,55.92,1.4199999999999982,28.03,60.82,0.0,0.0,0,2,8,10,Late_Summer,0.0,0.0
2024-08-11,Imola 1,2,30.02,53.05,1.5399999999999991,29.263333333333332,56.51333333333333,0.0,0.0,0,3,8,11,Late_Summer,0.0,0.0
2024-08-12,Imola 1,2,30.41,51.13,1.4299999999999995,29.98,53.366666666666674,0.0,0.0,0,4,8,12,Late_Summer,0.0,0.0
2024-08-13,Imola 1,2,29.97,52.4,1.8900000000000008,30.13333333333333,52.19333333333333,0.0,0.0,0,5,8,13,Late_Summer,0.0,0.0
2024-08-14,Imola 1,2,29.15,54.01,1.8300000000000016,29.843333333333334,52.51333333333334,0.0,0.0,0,1,8,14,Late_Summer,0.0,0.0
2024-08-15,Imola 1,2,26.94,63.04,1.09,28.686666666666667,56.48333333333333,0.0,0.0,0,2,8,15,Late_Summer,0.0,0.0
2024-08-16,Imola 1,2,28.34,61.34,1.490000000000002,28.14333333333333,59.46333333333333,0.0,0.0,0,3,8,16,Late_Summer,0.0,0.0
2024-08-17,Imola 1,2,26.83,65.86,1.9200000000000017,27.37,63.41333333333333,0.0,0.0,1,4,8,17,Late_Summer,1.0,1.0
2024-08-18,Imola 1,2,25.52,66.26,1.34,26.896666666666665,64.48666666666668,1.0,0.0,1,5,8,18,Late_Summer,1.0,0.0
2024-08-19,Imola 1,2,21.44,84.76,0.8499999999999979,24.596666666666664,72.29333333333334,1.0,0.0,1,6,8,19,Late_Summer,0.0,0.0
2024-08-20,Imola 1,2,22.89,89.0,1.2100000000000009,23.28333333333333,80.00666666666667,0.0,1.0,1,1,8,20,Late_Summer,4.0,4.0
2024-08-21,Imola 1,2,26.66,68.14,1.1300000000000026,23.663333333333338,80.63333333333333,4.0,1.0,1,2,8,21,Late_Summer,2.0,0.0
2024-08-22,Imola 1,2,25.99,71.87,1.1900000000000013,25.180000000000003,76.33666666666666,2.0,0.0,1,3,8,22,Late_Summer,4.0,2.0
2024-08-23,Imola 1,2,23.26,88.6,0.2999999999999971,25.30333333333333,76.20333333333333,4.0,4.0,1,4,8,23,Late_Summer,5.0,1.0
2024-07-06,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,6,Mid_Summer,0.0,0.0
2024-07-07,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,7,Mid_Summer,0.0,0.0
2024-07-08,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,8,Mid_Summer,0.0,0.0
2024-07-09,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,9,Mid_Summer,0.0,0.0
2024-07-10,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,10,Mid_Summer,0.0,0.0
2024-07-11,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,11,Mid_Summer,0.0,0.0
2024-07-12,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,12,Mid_Summer,0.0,0.0
2024-07-13,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,13,Mid_Summer,0.0,0.0
2024-07-14,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,14,Mid_Summer,0.0,0.0
2024-07-15,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,15,Mid_Summer,0.0,0.0
2024-07-16,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,16,Mid_Summer,0.0,0.0
2024-07-17,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,17,Mid_Summer,0.0,0.0
2024-07-18,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,18,Mid_Summer,0.0,0.0
2024-07-19,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,19,Mid_Summer,0.0,0.0
2024-07-20,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,20,Mid_Summer,0.0,0.0
2024-07-21,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,21,Mid_Summer,0.0,0.0
2024-07-22,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,22,Mid_Summer,0.0,0.0
2024-07-23,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,23,Mid_Summer,0.0,0.0
2024-07-24,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,24,Mid_Summer,0.0,0.0
2024-07-25,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,25,Mid_Summer,0.0,0.0
2024-07-26,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,26,Mid_Summer,0.0,0.0
2024-07-27,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,27,Mid_Summer,0.0,0.0
2024-07-28,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,28,Mid_Summer,0.0,0.0
2024-07-29,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,29,Mid_Summer,0.0,0.0
2024-07-30,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,30,Mid_Summer,0.0,0.0
2024-07-31,Imola 2,3,28.83,52.45,1.7200000000000024,28.83,52.45,0.0,0.0,0,0,7,31,Late_Summer,0.0,0.0
2024-08-01,Imola 2,3,31.06,43.43,1.4200000000000017,29.57333333333333,49.443333333333335,0.0,0.0,0,0,8,1,Late_Summer,0.0,0.0
2024-08-02,Imola 2,3,27.93,65.88,1.5199999999999996,29.27333333333333,53.92,0.0,0.0,0,0,8,2,Late_Summer,0.0,0.0
2024-08-03,Imola 2,3,25.84,72.74,1.5599999999999987,28.276666666666667,60.68333333333334,0.0,0.0,0,0,8,3,Late_Summer,0.0,0.0
2024-08-04,Imola 2,3,26.76,63.1,1.5800000000000018,26.843333333333334,67.24,0.0,0.0,0,0,8,4,Late_Summer,0.0,0.0
2024-08-05,Imola 2,3,27.46,55.41,1.4500000000000028,26.686666666666667,63.75,0.0,0.0,0,1,8,5,Late_Summer,0.0,0.0
2024-08-06,Imola 2,3,28.1,60.94,1.4400000000000013,27.44,59.81666666666666,0.0,0.0,0,2,8,6,Late_Summer,0.0,0.0
2024-08-07,Imola 2,3,27.25,65.07,1.8299999999999983,27.60333333333333,60.47333333333333,0.0,0.0,0,3,8,7,Late_Summer,0.0,0.0
2024-08-08,Imola 2,3,26.31,66.44,1.34,27.22,64.14999999999999,0.0,0.0,0,4,8,8,Late_Summer,0.0,0.0
